FIPS,County,Latitude,Longitude
17061,Greene,+39.355444°,–90.387757°
17063,Grundy,+41.292410°,–88.401055°
17065,Hamilton,+38.085226°,–88.539005°
17067,Hancock,+40.405792°,–91.167988°
17069,Hardin,+37.517852°,–88.266148°
17071,Henderson,+40.815141°,–90.938480°
17073,Henry,+41.350021°,–90.130838°
17075,Iroquois,+40.748867°,–87.833601°
17077,Jackson,+37.786096°,–89.381212°
17079,Jasper,+39.004874°,–88.150763°
17081,Jefferson,+38.300780°,–88.924210°
17083,Jersey,+39.080192°,–90.361365°
17085,Jo Daviess,+42.362391°,–90.211471°
17087,Johnson,+37.460815°,–88.882962°
17089,Kane,+41.939594°,–88.428040°
17091,Kankakee,+41.139494°,–87.861125°
17093,Kendall,+41.588140°,–88.430626°
17095,Knox,+40.930941°,–90.213761°
17097,Lake,+42.326444°,–87.436118°
17099,La Salle,+41.343341°,–88.885931°
17101,Lawrence,+38.718954°,–87.730221°
17103,Lee,+41.747442°,–89.299351°
17105,Livingston,+40.894376°,–88.552852°
17107,Logan,+40.129070°,–89.365308°
17109,McDonough,+40.455789°,–90.677579°
17111,McHenry,+42.324298°,–88.452245°
17113,McLean,+40.494559°,–88.844539°
17115,Macon,+39.860237°,–88.961529°
17117,Macoupin,+39.265900°,–89.926344°
17119,Madison,+38.827082°,–89.900195°
17121,Marion,+38.648396°,–88.920221°
17123,Marshall,+41.031119°,–89.342371°
17125,Mason,+40.236993°,–89.913575°
17127,Massac,+37.216119°,–88.705658°
17129,Menard,+40.022569°,–89.794133°
17131,Mercer,+41.204791°,–90.741433°
17133,Monroe,+38.277983°,–90.179078°
17135,Montgomery,+39.228092°,–89.478007°
17137,Morgan,+39.716806°,–90.202277°
17139,Moultrie,+39.636896°,–88.625726°
17141,Ogle,+42.041884°,–89.320176°
17143,Peoria,+40.785999°,–89.767358°
17145,Perry,+38.084385°,–89.368487°
17147,Piatt,+40.009056°,–88.592328°
17149,Pike,+39.625106°,–90.889034°
17151,Pope,+37.417169°,–88.542374°
17153,Pulaski,+37.215615°,–89.127755°
17155,Putnam,+41.198940°,–89.298386°
17157,Randolph,+38.056515°,–89.821210°
17159,Richland,+38.711550°,–88.085698°
17161,Rock Island,+41.468404°,–90.572203°
17163,St. Clair,+38.470198°,–89.928546°
17165,Saline,+37.751653°,–88.545031°
17167,Sangamon,+39.756378°,–89.662311°
17169,Schuyler,+40.156905°,–90.613464°
17171,Scott,+39.636980°,–90.477759°
17173,Shelby,+39.384926°,–88.798862°
17175,Stark,+41.096908°,–89.797411°
17177,Stephenson,+42.349726°,–89.665994°
17179,Tazewell,+40.508074°,–89.516260°
17181,Union,+37.475104°,–89.252875°
17183,Vermilion,+40.186740°,–87.726772°
17185,Wabash,+38.445821°,–87.839167°
17187,Warren,+40.850441°,–90.620223°
17189,Washington,+38.353141°,–89.417187°
17191,Wayne,+38.431948°,–88.432129°
17193,White,+38.087372°,–88.178585°
17195,Whiteside,+41.750571°,–89.910957°
17197,Will,+41.448474°,–87.978456°
17199,Williamson,+37.730353°,–88.930018°
17201,Winnebago,+42.337396°,–89.161205°
17203,Woodford,+40.789596°,–89.210301°
18001,Adams,+40.745733°,–84.936131°
18003,Allen,+41.091855°,–85.072230°
18005,Bartholomew,+39.205843°,–85.897999°
18007,Benton,+40.608253°,–87.315479°
18009,Blackford,+40.472672°,–85.323730°
18011,Boone,+40.050892°,–86.469014°
18013,Brown,+39.192585°,–86.239410°
18015,Carroll,+40.584980°,–86.565141°
18017,Cass,+40.753799°,–86.355169°
18019,Clark,+38.476217°,–85.711122°
18021,Clay,+39.393951°,–87.115837°
18023,Clinton,+40.305944°,–86.477567°
18025,Crawford,+38.289433°,–86.440871°
18027,Daviess,+38.696155°,–87.076988°
18029,Dearborn,+39.151491°,–84.973460°
18031,Decatur,+39.305980°,–85.499831°
18033,DeKalb,+41.401189°,–85.000185°
18035,Delaware,+40.227165°,–85.398856°
18037,Dubois,+38.373344°,–86.873385°
18039,Elkhart,+41.600693°,–85.863986°
18041,Fayette,+39.639655°,–85.185032°
18043,Floyd,+38.317937°,–85.911474°
18045,Fountain,+40.121282°,–87.234806°
18047,Franklin,+39.409762°,–85.066964°
18049,Fulton,+41.050384°,–86.265006°
18051,Gibson,+38.317413°,–87.580566°
18053,Grant,+40.515758°,–85.654946°
18055,Greene,+39.048600°,–87.005245°
18057,Hamilton,+40.049870°,–86.020586°
18059,Hancock,+39.822604°,–85.772904°
18061,Harrison,+38.186440°,–86.103681°
18063,Hendricks,+39.768749°,–86.510287°
18065,Henry,+39.929576°,–85.397338°
18067,Howard,+40.483537°,–86.114118°
18069,Huntington,+40.826394°,–85.478598°
18071,Jackson,+38.911957°,–86.042516°
18073,Jasper,+41.017688°,–87.118814°
18075,Jay,+40.434972°,–85.003380°
18077,Jefferson,+38.783604°,–85.440090°
18079,Jennings,+38.996234°,–85.628111°
18081,Johnson,+39.495986°,–86.094600°
18083,Knox,+38.688663°,–87.420182°
18085,Kosciusko,+41.244293°,–85.861575°
18087,LaGrange,+41.642468°,–85.426302°
18089,Lake,+41.472239°,–87.374337°
18091,LaPorte,+41.549011°,–86.744729°
18093,Lawrence,+38.839815°,–86.487820°
18095,Madison,+40.166203°,–85.722454°
18097,Marion,+39.782976°,–86.135794°
18099,Marshall,+41.325003°,–86.269036°
18101,Martin,+38.705322°,–86.801847°
18103,Miami,+40.772881°,–86.044259°
18105,Monroe,+39.160751°,–86.523325°
18107,Montgomery,+40.040296°,–86.892715°
18109,Morgan,+39.482646°,–86.447457°
18111,Newton,+40.962399°,–87.402172°
18113,Noble,+41.400794°,–85.417850°
18115,Ohio,+38.940527°,–84.964299°
18117,Orange,+38.547381°,–86.489257°
18119,Owen,+39.317339°,–86.838845°
18121,Parke,+39.774250°,–87.196950°
18123,Perry,+38.081436°,–86.626540°
18125,Pike,+38.397898°,–87.232532°
18127,Porter,+41.509922°,–87.071308°
18129,Posey,+38.027614°,–87.868653°
18131,Pulaski,+41.045272°,–86.692538°
18133,Putnam,+39.665545°,–86.853325°
18135,Randolph,+40.164414°,–85.005004°
18137,Ripley,+39.100230°,–85.260541°
18139,Rush,+39.622312°,–85.466527°
18141,St. Joseph,+41.617699°,–86.288159°
18143,Scott,+38.679431°,–85.751898°
18145,Shelby,+39.524135°,–85.792174°
18147,Spencer,+38.009789°,–87.010645°
18149,Starke,+41.283220°,–86.647570°
18151,Steuben,+41.643437°,–85.002467°
18153,Sullivan,+39.089225°,–87.415843°
18155,Switzerland,+38.825846°,–85.029679°
18157,Tippecanoe,+40.389260°,–86.893943°
18159,Tipton,+40.310229°,–86.056207°
18161,Union,+39.623111°,–84.925152°
18163,Vanderburgh,+38.020070°,–87.586166°
18165,Vermillion,+39.854045°,–87.462071°
18167,Vigo,+39.429143°,–87.390375°
18169,Wabash,+40.843717°,–85.795175°
18171,Warren,+40.352658°,–87.375847°
18173,Warrick,+38.097764°,–87.272023°
18175,Washington,+38.600613°,–86.104751°
18177,Wayne,+39.863091°,–85.006735°
18179,Wells,+40.735273°,–85.212974°
18181,White,+40.750950°,–86.864293°
18183,Whitley,+41.136426°,–85.501892°
19001,Adair,+41.328528°,–94.478164°
19003,Adams,+41.021656°,–94.696906°
19005,Allamakee,+43.274964°,–91.382751°
19007,Appanoose,+40.744683°,–92.870345°
19009,Audubon,+41.679178°,–94.904312°
19011,Benton,+42.092547°,–92.057630°
19013,Black Hawk,+42.472888°,–92.306059°
19015,Boone,+42.038601°,–93.939138°
19017,Bremer,+42.780890°,–92.327586°
19019,Buchanan,+42.470328°,–91.838666°
19021,Buena Vista,+42.741522°,–95.141433°
19023,Butler,+42.734708°,–92.780066°
19025,Calhoun,+42.386170°,–94.643683°
19027,Carroll,+42.039492°,–94.867647°
19029,Cass,+41.333824°,–94.933302°
19031,Cedar,+41.772355°,–91.132190°
19033,Cerro Gordo,+43.075171°,–93.251266°
19035,Cherokee,+42.742738°,–95.633262°
19037,Chickasaw,+43.059741°,–92.317210°
19039,Clarke,+41.029191°,–93.784096°
19041,Clay,+43.079822°,–95.149726°
19043,Clayton,+42.840998°,–91.323511°
19045,Clinton,+41.898073°,–90.534243°
19047,Crawford,+42.043119°,–95.389090°
19049,Dallas,+41.685321°,–94.040707°
19051,Davis,+40.748089°,–92.410345°
19053,Decatur,+40.736379°,–93.784580°
19055,Delaware,+42.473003°,–91.359443°
19057,Des Moines,+40.915339°,–91.186925°
19059,Dickinson,+43.389611°,–95.196057°
19061,Dubuque,+42.463481°,–90.878771°
19063,Emmet,+43.377984°,–94.669370°
19065,Fayette,+42.864450°,–91.839373°
19067,Floyd,+43.052741°,–92.787367°
19069,Franklin,+42.736549°,–93.271425°
19071,Fremont,+40.743726°,–95.599516°
19073,Greene,+42.042494°,–94.388703°
19075,Grundy,+42.403323°,–92.790261°
19077,Guthrie,+41.683573°,–94.501272°
19079,Hamilton,+42.390768°,–93.709198°
19081,Hancock,+43.075411°,–93.743697°
19083,Hardin,+42.389955°,–93.241081°
19085,Harrison,+41.688584°,–95.827149°
19087,Henry,+40.985864°,–91.544270°
19089,Howard,+43.365313°,–92.321908°
19091,Humboldt,+42.782221°,–94.202775°
19093,Ida,+42.391860°,–95.507421°
19095,Iowa,+41.683918°,–92.059123°
19097,Jackson,+42.164281°,–90.574597°
19099,Jasper,+41.685686°,–93.052971°
19101,Jefferson,+41.006880°,–91.967137°
19103,Johnson,+41.668737°,–91.588812°
19105,Jones,+42.125118°,–91.116914°
19107,Keokuk,+41.331182°,–92.167721°
19109,Kossuth,+43.212478°,–94.213983°
19111,Lee,+40.647588°,–91.477157°
19113,Linn,+42.077951°,–91.597674°
19115,Louisa,+41.218211°,–91.256994°
19117,Lucas,+41.033344°,–93.331467°
19119,Lyon,+43.383580°,–96.207201°
19121,Madison,+41.330622°,–94.015184°
19123,Mahaska,+41.330797°,–92.636366°
19125,Marion,+41.331455°,–93.093849°
19127,Marshall,+42.041691°,–92.981452°
19129,Mills,+41.033703°,–95.619101°
19131,Mitchell,+43.348564°,–92.784466°
19133,Monona,+42.049432°,–95.956566°
19135,Monroe,+41.028847°,–92.869642°
19137,Montgomery,+41.021735°,–95.157790°
19139,Muscatine,+41.483776°,–91.118699°
19141,O'Brien,+43.083746°,–95.625624°
19143,Osceola,+43.378542°,–95.633788°
19145,Page,+40.739090°,–95.144290°
19147,Palo Alto,+43.075854°,–94.667297°
19149,Plymouth,+42.737585°,–96.215864°
19151,Pocahontas,+42.734033°,–94.678279°
19153,Polk,+41.684281°,–93.569720°
19155,Pottawattamie,+41.340184°,–95.544905°
19157,Poweshiek,+41.684526°,–92.522882°
19159,Ringgold,+40.735334°,–94.244251°
19161,Sac,+42.387526°,–95.105224°
19163,Scott,+41.641679°,–90.622290°
19165,Shelby,+41.679014°,–95.308917°
19167,Sioux,+43.082854°,–96.177929°
19169,Story,+42.037538°,–93.466093°
19171,Tama,+42.074848°,–92.529412°
19173,Taylor,+40.737949°,–94.697108°
19175,Union,+41.028550°,–94.245091°
19177,Van Buren,+40.754117°,–91.952943°
19179,Wapello,+41.031263°,–92.409482°
19181,Warren,+41.336769°,–93.564366°
19183,Washington,+41.329401°,–91.725052°
19185,Wayne,+40.739983°,–93.332613°
19187,Webster,+42.434397°,–94.179157°
19189,Winnebago,+43.378124°,–93.743488°
19191,Winneshiek,+43.292989°,–91.850788°
19193,Woodbury,+42.393220°,–96.053296°
19195,Worth,+43.373491°,–93.248533°
19197,Wright,+42.733007°,–93.734735°
20001,Allen,+37.884229°,–95.300945°
20003,Anderson,+38.215114°,–95.292046°
20005,Atchison,+39.532544°,–95.313398°
20007,Barber,+37.222906°,–98.685052°
20009,Barton,+38.481239°,–98.767837°
20011,Bourbon,+37.856100°,–94.850928°
20013,Brown,+39.825931°,–95.569905°
20015,Butler,+37.773681°,–96.838762°
20017,Chase,+38.298553°,–96.594064°
20019,Chautauqua,+37.154259°,–96.245396°
20021,Cherokee,+37.169392°,–94.845698°
20023,Cheyenne,+39.789256°,–101.727302°
20025,Clark,+37.233831°,–99.813869°
20027,Clay,+39.344964°,–97.168853°
20029,Cloud,+39.487329°,–97.641390°
20031,Coffey,+38.236450°,–95.729137°
20033,Comanche,+37.189071°,–99.254089°
20035,Cowley,+37.234507°,–96.837247°
20037,Crawford,+37.505628°,–94.853941°
20039,Decatur,+39.783542°,–100.459708°
20041,Dickinson,+38.867735°,–97.157943°
20043,Doniphan,+39.788502°,–95.147225°
20045,Douglas,+38.896573°,–95.290529°
20047,Edwards,+37.883595°,–99.304746°
20049,Elk,+37.456026°,–96.244642°
20051,Ellis,+38.914596°,–99.317329°
20053,Ellsworth,+38.700845°,–98.205355°
20055,Finney,+38.049855°,–100.739929°
20057,Ford,+37.688365°,–99.884734°
20059,Franklin,+38.558019°,–95.278962°
20061,Geary,+39.002155°,–96.768038°
20063,Gove,+38.917239°,–100.487360°
20065,Graham,+39.349445°,–99.880952°
20067,Grant,+37.547537°,–101.299362°
20069,Gray,+37.744513°,–100.451716°
20071,Greeley,+38.480408°,–101.805984°
20073,Greenwood,+37.878659°,–96.242232°
20075,Hamilton,+37.995244°,–101.793689°
20077,Harper,+37.188184°,–98.066590°
20079,Harvey,+38.050144°,–97.436707°
20081,Haskell,+37.558550°,–100.876869°
20083,Hodgeman,+38.087493°,–99.898407°
20085,Jackson,+39.410989°,–95.794509°
20087,Jefferson,+39.239644°,–95.375314°
20089,Jewell,+39.777010°,–98.222584°
20091,Johnson,+38.883907°,–94.822330°
20093,Kearny,+37.994461°,–101.308136°
20095,Kingman,+37.552951°,–98.144529°
20097,Kiowa,+37.561231°,–99.286539°
20099,Labette,+37.191468°,–95.297473°
20101,Lane,+38.481286°,–100.466185°
20103,Leavenworth,+39.189511°,–95.038977°
20105,Lincoln,+39.047276°,–98.214265°
20107,Linn,+38.216549°,–94.844932°
20109,Logan,+38.913270°,–101.157407°
20111,Lyon,+38.455498°,–96.161589°
20113,McPherson,+38.395812°,–97.647489°
20115,Marion,+38.359647°,–97.102771°
20117,Marshall,+39.782709°,–96.521243°
20119,Meade,+37.243886°,–100.360094°
20121,Miami,+38.566772°,–94.832963°
20123,Mitchell,+39.393026°,–98.207362°
20125,Montgomery,+37.189537°,–95.742403°
20127,Morris,+38.687696°,–96.644905°
20129,Morton,+37.185250°,–101.809516°
20131,Nemaha,+39.791043°,–96.005381°
20133,Neosho,+37.564283°,–95.315683°
20135,Ness,+38.480437°,–99.908745°
20137,Norton,+39.783867°,–99.899235°
20139,Osage,+38.649706°,–95.727275°
20141,Osborne,+39.348649°,–98.767876°
20143,Ottawa,+39.137963°,–97.654803°
20145,Pawnee,+38.182873°,–99.232154°
20147,Phillips,+39.784506°,–99.342150°
20149,Pottawatomie,+39.382187°,–96.337113°
20151,Pratt,+37.647594°,–98.740120°
20153,Rawlins,+39.786198°,–101.076738°
20155,Reno,+37.948185°,–98.078346°
20157,Republic,+39.828910°,–97.650921°
20159,Rice,+38.347178°,–98.201415°
20161,Riley,+39.291211°,–96.727489°
20163,Rooks,+39.346006°,–99.324492°
20165,Rush,+38.523592°,–99.309183°
20167,Russell,+38.916839°,–98.765638°
20169,Saline,+38.786327°,–97.650153°
20171,Scott,+38.481877°,–100.906360°
20173,Sedgwick,+37.683807°,–97.459451°
20175,Seward,+37.180585°,–100.854741°
20177,Shawnee,+39.041805°,–95.755664°
20179,Sheridan,+39.350543°,–100.441206°
20181,Sherman,+39.351352°,–101.719859°
20183,Smith,+39.784660°,–98.785430°
20185,Stafford,+38.035630°,–98.719889°
20187,Stanton,+37.565932°,–101.789383°
20189,Stevens,+37.202356°,–101.315796°
20191,Sumner,+37.236663°,–97.493349°
20193,Thomas,+39.357706°,–101.083439°
20195,Trego,+38.921302°,–99.865423°
20197,Wabaunsee,+38.955154°,–96.201262°
20199,Wallace,+38.926626°,–101.771103°
20201,Washington,+39.776714°,–97.095611°
20203,Wichita,+38.481922°,–101.347434°
20205,Wilson,+37.558515°,–95.745175°
20207,Woodson,+37.888484°,–95.757553°
20209,Wyandotte,+39.115384°,–94.763087°
21001,Adair,+37.105541°,–85.281401°
21003,Allen,+36.750770°,–86.192458°
21005,Anderson,+38.005396°,–84.986417°
21007,Ballard,+37.051120°,–89.009178°
21009,Barren,+36.963614°,–85.924990°
21011,Bath,+38.152249°,–83.737641°
21013,Bell,+36.722680°,–83.681046°
21015,Boone,+38.974595°,–84.731444°
21017,Bourbon,+38.202562°,–84.209860°
21019,Boyd,+38.360004°,–82.681406°
21021,Boyle,+37.618200°,–84.873016°
21023,Bracken,+38.678523°,–84.100355°
21025,Breathitt,+37.521178°,–83.322401°
21027,Breckinridge,+37.778109°,–86.432829°
21029,Bullitt,+37.969572°,–85.703036°
21031,Butler,+37.207013°,–86.682471°
21033,Caldwell,+37.148643°,–87.870510°
21035,Calloway,+36.620978°,–88.274086°
21037,Campbell,+38.946981°,–84.379583°
21039,Carlisle,+36.857726°,–88.975757°
21041,Carroll,+38.668284°,–85.124083°
21043,Carter,+38.309555°,–83.048821°
21045,Casey,+37.321962°,–84.928220°
21047,Christian,+36.893388°,–87.493554°
21049,Clark,+37.970133°,–84.144974°
21051,Clay,+37.164466°,–83.710763°
21053,Clinton,+36.729124°,–85.153499°
21055,Crittenden,+37.358149°,–88.105010°
21057,Cumberland,+36.784227°,–85.393499°
21059,Daviess,+37.731671°,–87.087139°
21061,Edmonson,+37.227856°,–86.217778°
21063,Elliott,+38.116425°,–83.097541°
21065,Estill,+37.692460°,–83.963927°
21067,Fayette,+38.040157°,–84.458443°
21069,Fleming,+38.368431°,–83.706152°
21071,Floyd,+37.558283°,–82.740337°
21073,Franklin,+38.234919°,–84.868786°
21075,Fulton,+36.552620°,–89.187723°
21077,Gallatin,+38.760184°,–84.862114°
21079,Garrard,+37.630162°,–84.545856°
21081,Grant,+38.649210°,–84.625946°
21083,Graves,+36.723344°,–88.649897°
21085,Grayson,+37.458577°,–86.344011°
21087,Green,+37.269637°,–85.561403°
21089,Greenup,+38.563596°,–82.933833°
21091,Hancock,+37.843389°,–86.792773°
21093,Hardin,+37.695836°,–85.963183°
21095,Harlan,+36.859223°,–83.221497°
21097,Harrison,+38.443489°,–84.332796°
21099,Hart,+37.313856°,–85.881995°
21101,Henderson,+37.792542°,–87.572577°
21103,Henry,+38.451561°,–85.120079°
21105,Hickman,+36.675916°,–88.972020°
21107,Hopkins,+37.311070°,–87.542196°
21109,Jackson,+37.403320°,–84.020686°
21111,Jefferson,+38.189533°,–85.657624°
21113,Jessamine,+37.873291°,–84.583960°
21115,Johnson,+37.849260°,–82.830639°
21117,Kenton,+38.930477°,–84.533492°
21119,Knott,+37.354703°,–82.949138°
21121,Knox,+36.887476°,–83.855630°
21123,Larue,+37.545518°,–85.697209°
21125,Laurel,+37.113268°,–84.119395°
21127,Lawrence,+38.074459°,–82.738305°
21129,Lee,+37.605383°,–83.718497°
21131,Leslie,+37.087846°,–83.388616°
21133,Letcher,+37.118503°,–82.861175°
21135,Lewis,+38.532051°,–83.373303°
21137,Lincoln,+37.457257°,–84.658074°
21139,Livingston,+37.209517°,–88.363426°
21141,Logan,+36.859829°,–86.881436°
21143,Lyon,+37.023976°,–88.083391°
21145,McCracken,+37.053688°,–88.712378°
21147,McCreary,+36.731136°,–84.491052°
21149,McLean,+37.530575°,–87.262931°
21151,Madison,+37.723528°,–84.277008°
21153,Magoffin,+37.698954°,–83.069716°
21155,Marion,+37.552247°,–85.269242°
21157,Marshall,+36.882017°,–88.332752°
21159,Martin,+37.796774°,–82.506623°
21161,Mason,+38.594068°,–83.828052°
21163,Meade,+37.967476°,–86.200863°
21165,Menifee,+37.950715°,–83.597345°
21167,Mercer,+37.812085°,–84.879695°
21169,Metcalfe,+36.990394°,–85.629554°
21171,Monroe,+36.714077°,–85.713508°
21173,Montgomery,+38.038138°,–83.912338°
21175,Morgan,+37.922940°,–83.258944°
21177,Muhlenberg,+37.213816°,–87.134092°
21179,Nelson,+37.803188°,–85.465955°
21181,Nicholas,+38.337132°,–84.025554°
21183,Ohio,+37.477859°,–86.844871°
21185,Oldham,+38.400046°,–85.456059°
21187,Owen,+38.499603°,–84.841509°
21189,Owsley,+37.423452°,–83.691566°
21191,Pendleton,+38.690765°,–84.354041°
21193,Perry,+37.241282°,–83.217772°
21195,Pike,+37.482067°,–82.402869°
21197,Powell,+37.810379°,–83.826985°
21199,Pulaski,+37.108312°,–84.579986°
21201,Robertson,+38.513826°,–84.063757°
21203,Rockcastle,+37.361220°,–84.314419°
21205,Rowan,+38.205894°,–83.425969°
21207,Russell,+36.989127°,–85.058976°
21209,Scott,+38.289882°,–84.579376°
21211,Shelby,+38.239426°,–85.228360°
21213,Simpson,+36.740863°,–86.581464°
21215,Spencer,+38.026976°,–85.321525°
21217,Taylor,+37.365106°,–85.326698°
21219,Todd,+36.840338°,–87.183642°
21221,Trigg,+36.807681°,–87.858652°
21223,Trimble,+38.618193°,–85.355171°
21225,Union,+37.658029°,–87.951650°
21227,Warren,+36.995634°,–86.423579°
21229,Washington,+37.754209°,–85.175416°
21231,Wayne,+36.802011°,–84.830440°
21233,Webster,+37.520021°,–87.685095°
21235,Whitley,+36.758021°,–84.144550°
21237,Wolfe,+37.743774°,–83.495068°
21239,Woodford,+38.042789°,–84.748147°
22001,Acadia,+30.291497°,–92.411037°
22003,Allen,+30.652744°,–92.819605°
22005,Ascension,+30.202946°,–90.910023°
22007,Assumption,+29.899884°,–91.050528°
22009,Avoyelles,+31.085094°,–91.993798°
22011,Beauregard,+30.645018°,–93.340253°
22013,Bienville,+32.344268°,–93.061513°
22015,Bossier,+32.696202°,–93.617977°
22017,Caddo,+32.577195°,–93.882423°
22019,Calcasieu,+30.229559°,–93.358015°
22021,Caldwell,+32.101244°,–92.114180°
22023,Cameron,+29.871989°,–93.165437°
22025,Catahoula,+31.666517°,–91.846703°
22027,Claiborne,+32.827585°,–92.991125°
22029,Concordia,+31.469806°,–91.626314°
22031,De Soto,+32.059248°,–93.740797°
22033,East Baton Rouge,+30.544002°,–91.093174°
22035,East Carroll,+32.730170°,–91.234141°
22037,East Feliciana,+30.839784°,–91.043434°
22039,Evangeline,+30.720693°,–92.404086°
22041,Franklin,+32.138279°,–91.672101°
22043,Grant,+31.597787°,–92.561716°
22045,Iberia,+29.606013°,–91.842706°
22047,Iberville,+30.288394°,–91.363150°
22049,Jackson,+32.304480°,–92.556672°
22051,Jefferson,+29.503300°,–90.036231°
22053,Jefferson Davis,+30.269529°,–92.816221°
22055,Lafayette,+30.206507°,–92.064170°
22057,Lafourche,+29.491993°,–90.394849°
22059,La Salle,+31.680836°,–92.161809°
22061,Lincoln,+32.601148°,–92.662082°
22063,Livingston,+30.440419°,–90.727474°
22065,Madison,+32.365824°,–91.240729°
22067,Morehouse,+32.820008°,–91.800399°
22069,Natchitoches,+31.734982°,–93.086106°
22071,Orleans,+30.068636°,–89.939007°
22073,Ouachita,+32.477495°,–92.154798°
22075,Plaquemines,+29.402337°,–89.298489°
22077,Pointe Coupee,+30.708319°,–91.604621°
22079,Rapides,+31.193204°,–92.535953°
22081,Red River,+32.101213°,–93.349050°
22083,Richland,+32.418121°,–91.758375°
22085,Sabine,+31.560209°,–93.559228°
22087,St. Bernard,+29.918110°,–89.263494°
22089,St. Charles,+29.913833°,–90.359314°
22091,St. Helena,+30.821423°,–90.709350°
22093,St. James,+30.024820°,–90.793956°
22095,St. John the Baptist,+30.117471°,–90.504677°
22097,St. Landry,+30.583441°,–91.989275°
22099,St. Martin,+30.121433°,–91.611481°
22101,St. Mary,+29.629349°,–91.463804°
22103,St. Tammany,+30.410022°,–89.951962°
22105,Tangipahoa,+30.621581°,–90.406633°
22107,Tensas,+32.001489°,–91.342576°
22109,Terrebonne,+29.333266°,–90.844191°
22111,Union,+32.829349°,–92.375650°
22113,Vermilion,+29.786872°,–92.290090°
22115,Vernon,+31.110563°,–93.181520°
22117,Washington,+30.852144°,–90.046253°
22119,Webster,+32.732152°,–93.339825°
22121,West Baton Rouge,+30.464052°,–91.309808°
22123,West Carroll,+32.792480°,–91.451998°
22125,West Feliciana,+30.872701°,–91.421008°
22127,Winn,+31.941187°,–92.641269°
23001,Androscoggin,+44.167681°,–70.207435°
23003,Aroostook,+46.727057°,–68.649410°
23005,Cumberland,+43.808348°,–70.330375°
23007,Franklin,+44.973012°,–70.444727°
23009,Hancock,+44.564906°,–68.370703°
23011,Kennebec,+44.417012°,–69.765764°
23013,Knox,+44.042045°,–69.038515°
23015,Lincoln,+43.994265°,–69.514029°
23017,Oxford,+44.494585°,–70.734688°
23019,Penobscot,+45.390602°,–68.657487°
23021,Piscataquis,+45.917678°,–69.104548°
23023,Sagadahoc,+43.916694°,–69.843994°
23025,Somerset,+45.507482°,–69.976040°
23027,Waldo,+44.505361°,–69.139678°
23029,Washington,+44.967009°,–67.609354°
23031,York,+43.427239°,–70.670402°
24001,Allegany,+39.612309°,–78.703108°
24003,Anne Arundel,+38.993374°,–76.560511°
24005,Baltimore,+39.443167°,–76.616569°
24009,Calvert,+38.521358°,–76.525864°
24011,Caroline,+38.871531°,–75.831631°
24013,Carroll,+39.563189°,–77.015512°
24015,Cecil,+39.562352°,–75.941584°
24017,Charles,+38.472853°,–77.015427°
24019,Dorchester,+38.429196°,–76.047433°
24021,Frederick,+39.470427°,–77.397627°
24023,Garrett,+39.529871°,–79.269416°
24025,Harford,+39.537429°,–76.299789°
24027,Howard,+39.252264°,–76.924406°
24029,Kent,+39.239177°,–76.124200°
24031,Montgomery,+39.137382°,–77.203063°
24033,Prince George's,+38.825880°,–76.847272°
24035,Queen Anne's,+39.040693°,–76.082405°
24037,St. Mary's,+38.222666°,–76.534271°
24039,Somerset,+38.074450°,–75.853323°
24041,Talbot,+38.749427°,–76.179130°
24043,Washington,+39.603621°,–77.814671°
24045,Wicomico,+38.367389°,–75.632206°
24047,Worcester,+38.222133°,–75.309932°
24510,Baltimore [9],+39.300214°,–76.610516°
25001,Barnstable,+41.798819°,–70.211083°
25003,Berkshire,+42.375314°,–73.213948°
25005,Bristol,+41.748576°,–71.087062°
25007,Dukes,+41.380939°,–70.701536°
25009,Essex,+42.642711°,–70.865107°
25011,Franklin,+42.583791°,–72.591655°
25013,Hampden,+42.136198°,–72.635648°
25015,Hampshire,+42.339459°,–72.663694°
25017,Middlesex,+42.479477°,–71.396507°
25019,Nantucket,+41.305878°,–70.141910°
25021,Norfolk,+42.169703°,–71.179875°
25023,Plymouth,+41.987196°,–70.741942°
25025,Suffolk,+42.331960°,–71.020173°
25027,Worcester,+42.311693°,–71.940282°
26001,Alcona,+44.682535°,–82.834080°
26003,Alger,+47.080077°,–86.564108°
26005,Allegan,+42.595788°,–86.634745°
26007,Alpena,+44.894954°,–83.426574°
26009,Antrim,+45.005457°,–85.175625°
26011,Arenac,+44.036870°,–83.740675°
26013,Baraga,+46.696068°,–88.356022°
26015,Barry,+42.582811°,–85.314550°
26017,Bay,+43.699711°,–83.978701°
26019,Benzie,+44.648621°,–86.494317°
26021,Berrien,+41.792639°,–86.741822°
26023,Branch,+41.918585°,–85.066523°
26025,Calhoun,+42.242990°,–85.012385°
26027,Cass,+41.916240°,–85.999457°
26029,Charlevoix,+45.513164°,–85.450392°
26031,Cheboygan,+45.476120°,–84.495271°
26033,Chippewa,+46.321819°,–84.520630°
26035,Clare,+43.991137°,–84.838325°
26037,Clinton,+42.950455°,–84.591695°
26039,Crawford,+44.680208°,–84.611132°
26041,Delta,+45.805101°,–86.901373°
26043,Dickinson,+46.012823°,–87.866119°
26045,Eaton,+42.589614°,–84.846524°
26047,Emmet,+45.590094°,–84.986822°
26049,Genesee,+43.021077°,–83.706372°
26051,Gladwin,+43.989750°,–84.389816°
26053,Gogebic,+46.488054°,–89.788314°
