FIPS,County,Latitude,Longitude
5059,Hot Spring,+34.315177°,–92.944147°
5061,Howard,+34.083179°,–93.990988°
5063,Independence,+35.737499°,–91.559942°
5065,Izard,+36.094879°,–91.913625°
5067,Jackson,+35.596605°,–91.223178°
5069,Jefferson,+34.277696°,–91.930701°
5071,Johnson,+35.573359°,–93.466322°
5073,Lafayette,+33.240660°,–93.611643°
5075,Lawrence,+36.041098°,–91.101153°
5077,Lee,+34.779750°,–90.779288°
5079,Lincoln,+33.957665°,–91.727624°
5081,Little River,+33.699497°,–94.229774°
5083,Logan,+35.218550°,–93.720563°
5085,Lonoke,+34.755114°,–91.894132°
5087,Madison,+36.012545°,–93.724053°
5089,Marion,+36.266656°,–92.678588°
5091,Miller,+33.305505°,–93.901509°
5093,Mississippi,+35.766943°,–90.052209°
5095,Monroe,+34.679513°,–91.203314°
5097,Montgomery,+34.545652°,–93.664147°
5099,Nevada,+33.666699°,–93.305072°
5101,Newton,+35.910063°,–93.215084°
5103,Ouachita,+33.591158°,–92.878418°
5105,Perry,+34.946363°,–92.926877°
5107,Phillips,+34.425842°,–90.848386°
5109,Pike,+34.158191°,–93.658659°
5111,Poinsett,+35.568981°,–90.680595°
5113,Polk,+34.490915°,–94.230884°
5115,Pope,+35.455297°,–93.031535°
5117,Prairie,+34.828225°,–91.557200°
5119,Pulaski,+34.773988°,–92.316515°
5121,Randolph,+36.341299°,–91.028441°
5123,St. Francis,+35.014438°,–90.742199°
5125,Saline,+34.648525°,–92.674463°
5127,Scott,+34.858869°,–94.063641°
5129,Searcy,+35.909660°,–92.699351°
5131,Sebastian,+35.196981°,–94.274989°
5133,Sevier,+33.994608°,–94.243290°
5135,Sharp,+36.173399°,–91.471069°
5137,Stone,+35.856989°,–92.140494°
5139,Union,+33.168219°,–92.598145°
5141,Van Buren,+35.582959°,–92.515977°
5143,Washington,+35.971209°,–94.218417°
5145,White,+35.254722°,–91.753158°
5147,Woodruff,+35.189071°,–91.244418°
5149,Yell,+34.997713°,–93.408303°
6001,Alameda,+37.648081°,–121.913304°
6003,Alpine,+38.617610°,–119.798999°
6005,Amador,+38.443550°,–120.653856°
6007,Butte,+39.665959°,–121.601919°
6009,Calaveras,+38.187844°,–120.555115°
6011,Colusa,+39.177739°,–122.237563°
6013,Contra Costa,+37.919479°,–121.951543°
6015,Del Norte,+41.749903°,–123.980998°
6017,El Dorado,+38.785532°,–120.534398°
6019,Fresno,+36.761006°,–119.655019°
6021,Glenn,+39.602546°,–122.401700°
6023,Humboldt,+40.706673°,–123.925818°
6025,Imperial,+33.040816°,–115.355395°
6027,Inyo,+36.561977°,–117.403927°
6029,Kern,+35.346629°,–118.729506°
6031,Kings,+36.072478°,–119.815530°
6033,Lake,+39.094802°,–122.746757°
6035,Lassen,+40.721089°,–120.629931°
6037,Los Angeles,+34.196398°,–118.261862°
6039,Madera,+37.210039°,–119.749852°
6041,Marin,+38.051817°,–122.745974°
6043,Mariposa,+37.570034°,–119.912860°
6045,Mendocino,+39.432388°,–123.442881°
6047,Merced,+37.194806°,–120.722802°
6049,Modoc,+41.592919°,–120.718370°
6051,Mono,+37.915836°,–118.875167°
6053,Monterey,+36.240107°,–121.315573°
6055,Napa,+38.507351°,–122.325995°
6057,Nevada,+39.295191°,–120.773446°
6059,Orange,+33.675687°,–117.777207°
6061,Placer,+39.062032°,–120.722718°
6063,Plumas,+39.995170°,–120.829516°
6065,Riverside,+33.729828°,–116.002239°
6067,Sacramento,+38.450011°,–121.340441°
6069,San Benito,+36.610702°,–121.085296°
6071,San Bernardino,+34.857220°,–116.181197°
6073,San Diego,+33.023604°,–116.776117°
6075,San Francisco,+37.727239°,–123.032229°
6077,San Joaquin,+37.935034°,–121.272237°
6079,San Luis Obispo,+35.385227°,–120.447540°
6081,San Mateo,+37.414664°,–122.371542°
6083,Santa Barbara,+34.537378°,–120.038485°
6085,Santa Clara,+37.220777°,–121.690622°
6087,Santa Cruz,+37.012488°,–122.007205°
6089,Shasta,+40.760522°,–122.043550°
6091,Sierra,+39.576925°,–120.521993°
6093,Siskiyou,+41.587986°,–122.533287°
6095,Solano,+38.267226°,–121.939594°
6097,Sonoma,+38.532574°,–122.945194°
6099,Stanislaus,+37.562384°,–121.002656°
6101,Sutter,+39.035257°,–121.702758°
6103,Tehama,+40.126156°,–122.232276°
6105,Trinity,+40.647724°,–123.114404°
6107,Tulare,+36.230453°,–118.780542°
6109,Tuolumne,+38.021451°,–119.964708°
6111,Ventura,+34.358742°,–119.133143°
6113,Yolo,+38.679268°,–121.903178°
6115,Yuba,+39.270026°,–121.344280°
8001,Adams,+39.874325°,–104.331872°
8003,Alamosa,+37.568442°,–105.788041°
8005,Arapahoe,+39.644632°,–104.331733°
8007,Archuleta,+37.202395°,–107.050863°
8009,Baca,+37.303144°,–102.535457°
8011,Bent,+37.931891°,–103.077584°
8013,Boulder,+40.094826°,–105.398382°
8014,Broomfield,+39.953383°,–105.052125°
8015,Chaffee,+38.738246°,–106.316972°
8017,Cheyenne,+38.835387°,–102.604585°
8019,Clear Creek,+39.689403°,–105.670791°
8021,Conejos,+37.213407°,–106.176447°
8023,Costilla,+37.277547°,–105.428940°
8025,Crowley,+38.321956°,–103.787562°
8027,Custer,+38.101994°,–105.373515°
8029,Delta,+38.861756°,–107.864757°
8031,Denver,+39.761849°,–104.880625°
8033,Dolores,+37.747602°,–108.530383°
8035,Douglas,+39.326435°,–104.926199°
8037,Eagle,+39.630638°,–106.692944°
8039,Elbert,+39.310817°,–104.117928°
8041,El Paso,+38.827383°,–104.527472°
8043,Fremont,+38.455658°,–105.421438°
8045,Garfield,+39.599352°,–107.909780°
8047,Gilpin,+39.861082°,–105.528947°
8049,Grand,+40.123289°,–106.095876°
8051,Gunnison,+38.669679°,–107.078108°
8053,Hinsdale,+37.811625°,–107.383405°
8055,Huerfano,+37.687815°,–104.959928°
8057,Jackson,+40.663432°,–106.329248°
8059,Jefferson,+39.586460°,–105.245601°
8061,Kiowa,+38.388466°,–102.756210°
8063,Kit Carson,+39.305340°,–102.603023°
8065,Lake,+39.204316°,–106.349696°
8067,La Plata,+37.287367°,–107.839718°
8069,Larimer,+40.663091°,–105.482131°
8071,Las Animas,+37.318831°,–104.044110°
8073,Lincoln,+38.993740°,–103.507555°
8075,Logan,+40.728091°,–103.090464°
8077,Mesa,+39.019492°,–108.461837°
8079,Mineral,+37.651478°,–106.932300°
8081,Moffat,+40.573984°,–108.204521°
8083,Montezuma,+37.338025°,–108.595786°
8085,Montrose,+38.413427°,–108.263042°
8087,Morgan,+40.262354°,–103.807092°
8089,Otero,+37.884170°,–103.721260°
8091,Ouray,+38.150600°,–107.767133°
8093,Park,+39.118914°,–105.717648°
8095,Phillips,+40.594712°,–102.345105°
8097,Pitkin,+39.217533°,–106.915943°
8099,Prowers,+37.958181°,–102.392161°
8101,Pueblo,+38.170658°,–104.489893°
8103,Rio Blanco,+39.972606°,–108.200685°
8105,Rio Grande,+37.485763°,–106.453214°
8107,Routt,+40.483160°,–106.985289°
8109,Saguache,+38.033952°,–106.246675°
8111,San Juan,+37.781075°,–107.670257°
8113,San Miguel,+38.009374°,–108.427326°
8115,Sedgwick,+40.871568°,–102.355358°
8117,Summit,+39.621023°,–106.137555°
8119,Teller,+38.871994°,–105.182552°
8121,Washington,+39.965413°,–103.209605°
8123,Weld,+40.555794°,–104.383649°
8125,Yuma,+40.000631°,–102.422649°
9001,Fairfield [6],+41.228103°,–73.366757°
9003,Hartford [6],+41.806053°,–72.732916°
9005,Litchfield [6],+41.791897°,–73.235428°
9007,Middlesex [6],+41.434525°,–72.524227°
9009,New Haven [6],+41.349717°,–72.900204°
9011,New London [6],+41.478630°,–72.103452°
9013,Tolland [6],+41.858076°,–72.340977°
9015,Windham [6],+41.824999°,–71.990702°
10001,Kent,+39.097088°,–75.502982°
10003,New Castle,+39.575915°,–75.644132°
10005,Sussex,+38.677511°,–75.335495°
11001,District of Columbia [7],+38.904149°,–77.017094°
12001,Alachua,+29.675740°,–82.357221°
12003,Baker,+30.324442°,–82.302284°
12005,Bay,+30.237563°,–85.631348°
12007,Bradford,+29.946934°,–82.166796°
12009,Brevard,+28.298276°,–80.700384°
12011,Broward,+26.193520°,–80.476658°
12013,Calhoun,+30.388801°,–85.197916°
12015,Charlotte,+26.868826°,–81.940858°
12017,Citrus,+28.843628°,–82.524796°
12019,Clay,+29.987116°,–81.858147°
12021,Collier,+26.118713°,–81.400884°
12023,Columbia,+30.221305°,–82.623127°
12027,DeSoto,+27.190581°,–81.806253°
12029,Dixie,+29.580899°,–83.195666°
12031,Duval,+30.335245°,–81.648113°
12033,Escambia,+30.611664°,–87.339040°
12035,Flagler,+29.474894°,–81.286362°
12037,Franklin,+29.810176°,–84.799174°
12039,Gadsden,+30.579170°,–84.612783°
12041,Gilchrist,+29.723456°,–82.795801°
12043,Glades,+26.954810°,–81.190820°
12045,Gulf,+29.907257°,–85.256537°
12047,Hamilton,+30.491102°,–82.951049°
12049,Hardee,+27.492846°,–81.821580°
12051,Hendry,+26.539340°,–81.151584°
12053,Hernando,+28.567911°,–82.464835°
12055,Highlands,+27.342627°,–81.340921°
12057,Hillsborough,+27.906590°,–82.349568°
12059,Holmes,+30.866222°,–85.812959°
12061,Indian River,+27.700638°,–80.574803°
12063,Jackson,+30.787812°,–85.210374°
12065,Jefferson,+30.424558°,–83.890859°
12067,Lafayette,+29.990066°,–83.178510°
12069,Lake,+28.764113°,–81.712282°
12071,Lee,+26.552134°,–81.892250°
12073,Leon,+30.459310°,–84.277800°
12075,Levy,+29.284409°,–82.783483°
12077,Liberty,+30.259849°,–84.868581°
12079,Madison,+30.447228°,–83.470437°
12081,Manatee,+27.481386°,–82.365784°
12083,Marion,+29.202805°,–82.043100°
12085,Martin,+27.079954°,–80.398211°
12086,Miami-Dade,+25.610494°,–80.499045°
12087,Monroe,+25.601043°,–81.206777°
12089,Nassau,+30.605926°,–81.764929°
12091,Okaloosa,+30.665858°,–86.594194°
12093,Okeechobee,+27.385592°,–80.887388°
